id,session,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
PH_001,F0,1048,443,1720,1393,392,3347,4158,3697,734,4459,2563,2537,1722,2982,610,1296,1663,636,1299,1421,3769,965,4228,3632,696,4958,6993,5749,3395,4391,262,387,458,2208,776,811,1646,1793,372,3118,5102,3205,677,4672,2649,2748,1868,3364,675,1400,1216,870,1544,1440,3844,1092,4449,4354,692,4940,6030,5400,3455,3809,267,477,308,2355,2.51039,2.45852,80210.3,81420.9,1447457.852
PH_001,F1,1050,444,1739,1394,431,3357,4118,3786,757,4526,2635,2510,1746,2965,616,1329,1643,634,1284,1385,3813,911,4389,3609,706,4909,7028,5649,3385,4406,270,419,464,2230,766,822,1645,1833,412,3152,5137,3200,684,4686,2652,2721,1876,3341,675,1422,1216,874,1536,1453,3833,1103,4410,4356,721,4885,6024,5335,3497,3816,275,481,305,2361,2.49617,2.43086,80539.7,81504.7,1447457.852
PH_001,F2,1042,435,1678,1385,394,3380,4098,3793,797,4522,2590,2520,1719,2962,625,1317,1645,646,1279,1427,3821,928,4330,3592,713,4964,6948,5677,3354,4330,280,424,466,2424,758,827,1641,1795,326,3169,5153,3238,700,4727,2685,2714,1892,3392,689,1409,1216,872,1527,1457,3803,1102,4408,4385,697,4929,5991,5499,3407,3831,293,467,303,2482,2.51018,2.45474,80452.5,81782.9,1447457.852
PH_002,F0,1264,855,2598,2116,526,3802,5332,3951,1151,6337,3111,3686,2409,3783,617,1361,1855,778,1528,2101,4058,1490,5740,4272,1103,7646,9203,5146,4541,4577,323,562,502,2673,1275,995,2438,1911,418,3910,4799,3874,1109,6148,3618,4496,2466,4048,597,1671,1815,915,1814,2374,4041,1521,6082,4065,687,7127,9003,5786,4432,4708,398,503,363,2857,2.50785,2.48941,100987,102262,1879983.284
PH_002,F1,1245,853,2601,2116,620,3834,5319,3917,1160,6237,3099,3693,2367,3735,593,1358,1848,758,1553,2085,3983,1493,5646,4245,1088,7564,9131,5093,4552,4586,331,549,483,2624,1286,968,2406,1853,377,3818,4791,3820,1105,6103,3636,4353,2369,3992,589,1610,1815,904,1799,2327,3983,1502,5974,4068,656,6947,8896,5784,4402,4655,395,471,354,2782,2.52947,2.4902,100349,100788,1879983.284
PH_002,F2,1245,855,2623,2124,532,3775,5361,3960,1162,6324,3135,3666,2224,3790,608,1353,1860,772,1526,2100,4075,1494,5731,4275,1091,7689,9270,5150,4530,4587,346,562,492,2600,1290,956,2416,1852,382,3791,4789,3831,1100,6106,3712,4428,2430,3986,607,1648,1810,922,1833,2344,4003,1499,6052,4052,663,7004,8972,5791,4424,4652,396,496,359,2730,2.51821,2.47373,100888,101206,1879983.284
PH_003,F0,868,660,2327,1376,428,2995,3378,3686,878,4436,2516,2961,1858,3056,584,1397,1570,616,1137,1521,3652,1038,4867,3280,880,5945,7451,4756,3839,4044,245,483,525,2093,662,617,2324,1251,350,2959,4532,3639,704,4940,2738,2707,1829,3096,634,1472,1264,736,1381,1584,3544,1175,5049,3380,698,5167,7442,4783,3566,3408,346,420,365,2088,2.60082,2.56306,81347,80850.5,1498027.726
PH_003,F1,870,641,2334,1344,476,2969,3406,3656,876,4369,2510,2932,1841,3097,603,1405,1585,625,1153,1488,3622,1045,4870,3290,902,5992,7446,4801,3915,4095,265,479,512,2149,670,632,2318,1230,349,2934,4528,3632,719,4908,2725,2691,1767,3053,625,1468,1282,734,1373,1575,3575,1170,4950,3370,692,5127,7460,4815,3524,3446,330,481,377,2078,2.59779,2.55775,81562.9,80608.8,1498027.726
PH_004,F0,975,505,2165,1392,455,2897,3381,3108,997,4168,2053,2556,1639,2759,541,1256,1387,506,1105,1340,3610,1031,4577,3348,694,4831,6827,4434,3406,3783,228,453,408,2002,762,605,1636,1241,411,2728,3998,3385,772,3598,2420,2741,1813,2898,688,1367,1165,680,1111,1392,3380,914,4299,3336,483,5839,5653,4863,3141,3179,272,422,304,2016,2.50329,2.49759,74816.7,73512.8,1448270.623
PH_004,F1,980,525,2178,1362,460,2892,3454,3156,1027,4153,2037,2514,1649,2831,548,1258,1406,505,1107,1270,3535,1030,4438,3347,708,4798,6816,4430,3433,3780,227,481,404,2000,748,605,1644,1273,420,2779,3983,3372,784,3636,2290,2743,1787,2957,707,1364,1176,708,1114,1388,3335,941,4370,3380,454,5905,5653,4876,3137,3169,281,413,297,1987,2.53833,2.52621,74734.8,73586.4,1448270.623
PH_004,F2,986,495,2171,1368,441,2903,3421,3080,998,4107,2039,2485,1565,2775,552,1247,1405,512,1111,1293,3490,1052,4389,3351,649,4800,6801,4419,3385,3798,229,408,410,1999,756,598,1670,1277,389,2732,3959,3387,794,3527,2338,2708,1768,2926,686,1377,1175,694,1118,1380,3311,944,4281,3381,498,5831,5628,4891,3125,3205,303,378,303,2015,2.53309,2.52362,74135.8,73350.9,1448270.623
PH_005,F0,1059,623,2557,1643,569,3693,5014,3743,1068,4942,2852,3272,2281,3573,729,1395,1458,841,1344,1527,4198,1265,5689,4323,702,6456,8907,5882,4219,4109,265,420,594,2492,1068,657,2499,1664,414,3234,6141,3344,867,5300,3262,3647,2022,3864,850,1595,1543,858,1452,1607,4273,1298,5319,4462,600,5980,8002,4996,4073,3584,379,495,382,2394,2.65013,2.60313,93707.2,92036.1,1642907.353
PH_005,F1,1069,608,2626,1686,559,3720,5000,3794,1077,5197,2794,3403,2224,3650,728,1385,1486,862,1308,1554,4206,1249,5551,4339,695,6457,8811,5929,4189,4074,281,477,577,2478,1080,654,2476,1661,465,3290,6226,3477,869,5486,3218,3760,1994,3913,871,1609,1555,861,1460,1610,4310,1294,5313,4517,608,5830,7878,5115,4089,3582,368,519,351,2391,2.66844,2.60174,94042.5,92701.9,1642907.353
PH_005,F2,1057,607,2564,1669,439,3678,4990,3736,1067,5152,2902,3307,2201,3612,708,1396,1455,877,1336,1569,4161,1231,5610,4343,711,6399,8808,5887,4193,4104,265,432,582,2421,1061,673,2498,1642,463,3144,6159,3404,850,5486,3200,3701,2060,4001,839,1586,1545,859,1443,1590,4256,1289,5352,4481,604,5864,7832,5096,4123,3589,350,473,361,2313,2.67957,2.63871,93467.3,92186.7,1642907.353
PH_006,F0,884,521,2215,1422,354,3125,4355,3982,1078,4196,2520,3247,1954,3449,704,1261,1493,707,1184,1403,3778,1248,3949,3937,706,5825,7341,6241,3838,4563,270,470,399,2337,942,434,2319,1518,429,3352,5712,3612,911,5256,2297,3664,1999,3304,660,1623,1320,832,1406,1548,4135,950,4517,3979,417,5176,7622,5665,3163,3938,276,486,318,2453,2.70348,2.65954,84954.3,86233.1,1624749.799
PH_006,F1,879,532,2212,1403,372,3058,4322,3848,1094,4150,2478,3152,1983,3357,706,1270,1474,688,1184,1424,3780,1251,3936,3933,731,5772,7300,6260,3790,4545,255,460,410,2355,940,435,2307,1477,467,3303,5703,3620,895,5286,2305,3601,1954,3260,651,1605,1332,816,1391,1513,4096,948,4429,3983,415,5154,7612,5655,3153,3938,266,462,306,2272,2.70383,2.65547,84362.4,85549.4,1624749.799
PH_006,F2,881,557,2201,1435,415,3158,4346,3955,1100,4143,2564,3242,1967,3499,723,1267,1472,708,1188,1435,3731,1255,3868,3955,720,5812,7346,6279,3819,4563,257,466,421,2362,938,444,2330,1511,510,3319,5718,3663,885,5257,2358,3644,2022,3291,647,1589,1348,831,1403,1550,4079,960,4467,3959,430,5209,7666,5652,3156,3950,296,477,315,2510,2.69513,2.6541,85109.4,86380.5,1624749.799
PH_007,F0,916,835,1940,1342,500,2674,3872,3034,872,4033,2384,2651,1918,2961,524,1305,1218,572,1035,1378,3846,1248,4763,3604,908,4593,6541,5377,3518,3124,252,479,407,1964,794,552,1835,1527,405,2884,4605,3156,748,4268,2341,2580,1960,3029,490,1233,1050,647,1324,1418,3867,982,4639,4093,506,4757,6536,4672,3588,3539,301,438,293,1906,2.58748,2.58571,76586.6,76963.7,1403064.97
PH_007,F1,912,795,1963,1379,540,2724,3730,3028,910,4042,2350,2694,1875,2918,522,1320,1257,609,1062,1400,3862,1216,4825,3589,862,4513,6310,5356,3544,3129,227,511,407,1953,785,529,1951,1558,399,2954,4609,3166,703,4356,2404,2583,1855,3019,486,1291,1041,628,1277,1410,3863,935,4666,4065,455,4458,6218,4673,3598,3454,253,447,313,1898,2.53656,2.50868,76332.3,76303.4,1403064.97
PH_007,F2,910,848,1922,1351,551,2699,3849,2988,895,4005,2327,2645,1933,2924,519,1305,1221,576,1047,1397,3869,1231,4803,3563,916,4535,6498,5336,3493,3067,251,531,416,1934,793,539,1836,1572,419,2818,4598,3163,709,4277,2297,2594,1986,3010,501,1245,1051,653,1341,1397,3861,940,4624,4080,562,4752,6482,4664,3575,3496,320,439,284,1898,2.60174,2.61925,76354.7,76767.1,1403064.97
