id,session,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_parahippocampal_thickavg,L_paracentral_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_frontalpole_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,L_insula_thickavg,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_parahippocampal_thickavg,R_paracentral_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_frontalpole_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,R_insula_thickavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
PH_001,F0,2.642,2.593,2.442,1.602,3.285,2.587,2.441,2.892,2.915,2.153,2.609,1.736,2.429,2.835,2.735,2.82,2.628,2.879,2.582,1.501,2.179,2.776,2.697,2.435,3.015,2.444,2.84,2.224,2.739,2.55,2.617,3.489,2.075,2.855,2.566,2.576,2.611,1.593,3.12,2.657,2.553,2.767,2.519,2.095,2.475,1.669,2.689,2.889,2.507,2.522,2.518,2.421,2.45,1.367,2.092,2.744,2.605,2.326,3.055,2.338,2.708,2.291,2.829,2.514,2.702,3.535,2.272,2.878,2.51039,2.45852,80210.3,81420.9,1447457.852
PH_001,F1,2.687,2.605,2.47,1.579,3.133,2.608,2.457,2.863,2.916,2.114,2.603,1.709,2.487,2.829,2.776,2.723,2.649,2.844,2.621,1.526,2.128,2.769,2.512,2.43,2.927,2.481,2.772,2.254,2.764,2.563,2.647,3.459,2.071,2.918,2.528,2.505,2.545,1.527,2.943,2.642,2.482,2.752,2.558,2.1,2.502,1.736,2.613,2.912,2.519,2.55,2.539,2.388,2.48,1.326,2.054,2.676,2.603,2.335,2.77,2.286,2.63,2.231,2.742,2.498,2.759,3.465,2.304,2.911,2.49617,2.43086,80539.7,81504.7,1447457.852
PH_001,F2,2.663,2.538,2.508,1.641,3.049,2.569,2.46,2.868,2.83,2.172,2.579,1.747,2.492,2.831,2.739,2.824,2.628,2.824,2.635,1.521,2.152,2.774,2.643,2.447,2.945,2.461,2.841,2.275,2.77,2.564,2.539,3.605,1.935,2.698,2.574,2.457,2.585,1.596,3.02,2.67,2.53,2.772,2.526,2.125,2.423,1.745,2.54,2.942,2.451,2.57,2.573,2.451,2.505,1.345,2.064,2.778,2.646,2.303,2.777,2.286,2.667,2.283,2.903,2.546,2.62,3.664,2.203,2.857,2.51018,2.45474,80452.5,81782.9,1447457.852
PH_002,F0,2.454,2.914,2.597,2.041,3.038,2.814,2.432,3.041,2.239,2.195,2.72,2.172,2.37,3.026,2.404,2.376,2.661,2.809,2.486,1.698,2.189,2.629,2.565,2.408,2.832,2.426,2.597,2.185,2.772,2.591,2.491,3.399,1.945,2.844,2.569,2.606,2.48,2.095,3.102,2.758,2.469,2.857,2.438,2.402,2.511,2.08,2.774,3.048,2.731,2.415,2.567,2.603,2.362,1.591,2.028,2.453,2.413,2.535,2.915,2.257,2.687,2.185,2.725,2.547,2.789,4.124,2.603,2.868,2.50785,2.48941,100987,102262,1879983.284
PH_002,F1,2.483,2.933,2.633,2.055,2.997,2.86,2.398,3.064,2.318,2.205,2.807,2.16,2.386,3.062,2.602,2.39,2.723,2.89,2.518,1.681,2.207,2.617,2.583,2.416,2.874,2.463,2.618,2.173,2.809,2.604,2.432,3.355,2.049,2.888,2.491,2.625,2.462,2.141,3.49,2.795,2.437,2.845,2.391,2.381,2.51,2.116,2.763,3.034,2.794,2.466,2.573,2.605,2.368,1.681,2.026,2.455,2.417,2.508,2.93,2.263,2.661,2.155,2.732,2.529,2.787,4.11,2.715,2.965,2.52947,2.4902,100349,100788,1879983.284
PH_002,F2,2.428,2.897,2.612,2.044,3.198,2.851,2.387,3.045,2.299,2.2,2.765,2.208,2.455,3.017,2.551,2.392,2.695,2.841,2.515,1.688,2.186,2.607,2.565,2.416,2.878,2.44,2.587,2.187,2.809,2.556,2.47,3.471,2.014,2.884,2.478,2.622,2.435,2.136,3.335,2.839,2.422,2.812,2.428,2.36,2.506,2.116,2.732,2.994,2.747,2.407,2.511,2.558,2.334,1.708,2.036,2.431,2.391,2.516,2.924,2.251,2.641,2.168,2.696,2.49,2.7,4.07,2.602,2.928,2.51821,2.47373,100888,101206,1879983.284
PH_003,F0,2.74,2.762,2.627,2.03,3.318,2.716,2.469,2.869,2.457,2.19,2.751,2.06,2.525,2.986,2.926,2.557,2.646,2.963,2.699,1.667,2.233,2.755,2.742,2.488,2.909,2.516,2.829,2.377,2.947,2.709,2.967,3.498,2.166,2.944,2.607,2.598,2.571,1.92,2.94,2.615,2.602,2.834,2.453,2.288,2.541,2.022,2.701,2.857,2.771,2.632,2.681,2.688,2.479,1.678,2.281,2.633,2.723,2.542,3.171,2.37,2.666,2.399,2.911,2.701,2.843,3.838,2.251,2.965,2.60082,2.56306,81347,80850.5,1498027.726
PH_003,F1,2.785,2.699,2.571,2.064,3.392,2.77,2.41,2.864,2.472,2.233,2.756,2.057,2.633,2.972,2.915,2.534,2.651,2.968,2.663,1.771,2.256,2.661,2.721,2.421,2.925,2.475,2.796,2.338,2.973,2.677,2.91,3.671,2.376,3.055,2.664,2.598,2.524,1.995,2.938,2.642,2.58,2.839,2.466,2.289,2.53,2.089,2.716,2.946,2.904,2.67,2.694,2.62,2.476,1.789,2.275,2.528,2.739,2.522,3.124,2.27,2.616,2.344,2.981,2.656,2.844,3.668,2.278,2.985,2.59779,2.55775,81562.9,80608.8,1498027.726
PH_004,F0,2.429,2.751,2.603,1.998,2.91,2.72,2.504,2.796,2.289,2.12,2.771,2.103,2.397,2.876,2.963,2.535,2.728,2.869,2.761,1.88,2.161,2.507,2.51,2.219,2.642,2.509,2.683,2.292,2.638,2.628,2.581,3.218,2.427,2.797,2.612,2.754,2.46,2.018,2.692,2.702,2.465,2.817,2.678,2.129,2.476,2.024,2.601,3.014,3.049,2.491,2.636,2.679,2.411,1.702,2.132,2.582,2.482,2.405,3.044,2.355,2.722,2.352,2.766,2.472,2.62,3.663,2.484,2.86,2.50329,2.49759,74816.7,73512.8,1448270.623
PH_004,F1,2.492,2.665,2.602,2.056,2.838,2.76,2.531,2.826,2.433,2.191,2.759,2.206,2.437,2.865,2.852,2.615,2.658,2.803,2.777,2.065,2.235,2.504,2.612,2.267,2.649,2.533,2.688,2.32,2.665,2.629,2.581,3.215,2.47,2.826,2.678,2.716,2.422,2.029,2.783,2.741,2.558,2.869,2.697,2.171,2.552,2.138,2.56,3.032,3.07,2.558,2.609,2.688,2.407,1.798,2.174,2.593,2.462,2.445,3.117,2.335,2.696,2.364,2.827,2.549,2.607,3.811,2.579,2.868,2.53833,2.52621,74734.8,73586.4,1448270.623
