id,lh.SI,rh.SI,timepoint
PH_001,0.931409832,0.92551248,between
PH_002,0.94520883,0.944744319,between
PH_003,0.93775679,0.939700392,between
PH_004,0.937371367,0.935947356,between
PH_005,0.933673992,0.935408188,between
PH_006,0.949429539,0.947516683,between
PH_007,0.912303307,0.902399323,between
PH_008,0.942723925,0.939495079,between
PH_009,0.937830924,0.932116953,between
PH_101,0.935223842,0.934898173,between
PH_102,0.934975203,0.934059241,between
PH_103,0.935434749,0.930033576,between
PH_104,0.917492699,0.918362473,between
PH_105,0.949685055,0.944940581,between
PH_106,0.924672368,0.917286506,between
PH_107,0.92527151,0.923669103,between
PH_108,0.939530379,0.93216181,between
PH_109,0.943870128,0.94021053,between
PH_110,0.938767847,0.936050711,between
PH_111,0.950339553,0.948547345,between
PH_001,0.931254433,0.927733745,within
PH_002,0.94771309,0.947571392,within
PH_004,0.934218849,0.932750245,within
PH_005,0.941138926,0.938984217,within
PH_006,0.950631192,0.945319169,within
PH_007,0.910717563,0.895939619,within
PH_008,0.940163254,0.936627481,within
PH_009,0.937914046,0.931313692,within
PH_101,0.938713001,0.937646824,within
PH_102,0.925811226,0.920948647,within
PH_103,0.939102153,0.939840501,within
PH_104,0.927074075,0.927574938,within
PH_105,0.94241975,0.934393274,within
PH_106,0.936731,0.937833921,within
PH_107,0.944406563,0.942835283,within
PH_108,0.940815203,0.93418455,within
PH_109,0.9373134,0.932098121,within
PH_110,0.939247214,0.934548168,within
PH_111,0.94120108,0.946740886,within
