id,session,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,cortex
PH_001,F0,533.4,665.4,456,459.2,419.9,422.2,453.7,493.9,736.6,377.7,419,580.2,563.3,548.9,441.7,525.2,535.5,505.1,544.8,523.8,441.9,710.6,471.9,618,634.6,540.8,509,390,571.4,536.5,456.4,490.8,489.5,449.5,574,756.8,401.5,418.7,360.9,367.1,424.4,475.6,667.1,368.7,363.8,474.4,570.7,515.9,335.7,483.5,511.1,478.1,473.3,442,367.1,685.6,408.6,544.8,663.2,448,478.5,354.8,536.7,461.6,472.2,471.3,527,445.3,476.7259519
PH_001,F1,568.3,721.9,549.2,598,439.9,408.1,561.7,519.5,755.4,457.2,440.6,634.3,651,589.2,428.9,524.5,543.5,522.5,527.2,583,481.1,687.3,514.2,718.4,687.7,531.8,529.3,463.1,567.2,559.5,636.3,494.5,545.5,483.8,610.5,756.9,469.3,543.6,395.5,382.1,533.4,527.5,715.2,466.6,400,535.9,657.6,564.2,377.3,467.3,577,535.8,475,497.5,435.9,660.1,454.8,609.5,681,484.6,472.1,441.3,564.2,477.6,656.1,482,544.8,468.7,518.8741653
PH_001,F2,531.5,658.7,484.1,526.2,363.4,358.8,499.1,493.6,711.6,401.4,401.9,567.1,582,547.3,415.9,492.9,520.2,513.5,499.3,527.9,440.2,670,459.5,646.7,597.3,481.1,463,404.7,538.5,507.8,572.8,491.1,466.9,435.9,554.7,682.5,439.8,482,362.1,356.8,477.9,512.1,669.1,433.4,391,484.1,558.5,544,363.4,467.8,553.9,502.2,427.1,460.5,370.7,650.6,413.1,534.8,583.9,428.9,408.2,378.9,535.1,426.9,582.7,508.4,470.8,456.1,472.2192123
PH_002,F0,769.4,906.5,654.4,661.5,462.6,444.4,607,636.1,806.5,508.7,583.2,609.4,679,680,508,597.3,756.2,704,673.7,589.1,521.6,883.1,636.2,698.6,704,664.6,601,465.6,745.4,623,772.7,665,727.2,663.3,891.6,1052,557.3,612.5,532.6,451.8,708,700,745.8,641,555,544.9,826.8,786.7,474.3,594.8,692.8,524.8,575.4,553.5,502.9,886.3,573.6,610.7,893.8,487.8,603.3,457.1,808.2,616,734.6,715.1,702.5,695.3,627.2421378
PH_002,F1,733.5,870,671.1,740.4,480,485.3,592.4,613.3,771,594.9,580,688.9,661,685.8,536.5,644.1,735,690.3,634.5,689.4,579.6,810.5,694,728.4,679.3,668.4,612.1,475.5,732.1,586.4,756.7,688.4,777.3,664.2,789.7,1011,596,665.9,552.5,475.4,665.7,645.5,776.6,655.1,487.9,631.5,804.5,743.8,528,689.3,703.4,533.7,559.1,654.9,615.3,869.8,637.6,615.7,921,539.4,621.9,493.7,795.6,623.2,795.5,641.2,755.8,678,639.8983461
PH_002,F2,677.9,874.9,635.2,772.3,514,497.9,591.6,591.2,799.2,666.1,573.7,744.7,674.9,653.9,517.3,707.4,740.3,721.6,663.6,734.2,569.9,852.1,656.9,733.8,682.2,647.5,593.5,496.6,692.5,527.4,781.6,665.9,708.9,637.1,728.8,979.7,567.5,730.9,594,522.7,662.1,657.2,726.5,739.3,489.4,679.8,804,694.8,559.8,723.9,685.8,539,563.2,725.6,590.8,857.3,617.9,637.3,898.1,530.7,591.7,524,750.7,574.7,783.7,651.5,732.5,696.7,637.1229002
PH_003,F0,522.3,688.3,506.8,574,346.7,391.8,487.5,507,651.9,480.4,462.8,567.1,509.6,501.6,427.5,444.3,561.2,540,487.8,563.3,463,604.5,495.3,602.2,645.1,497,466.6,515.4,537.8,475.2,428.8,476.3,526.2,531,608.5,777.2,415,549.1,362.1,373.1,541.9,484,623.4,523.1,399.9,539.4,621.7,536.6,443.9,460.8,561.1,464.7,487.8,514.3,449.1,655.4,449.2,545.4,786.3,424.1,417.9,462.3,562.3,490.6,424,475.3,550.6,475.7,495.8286555
PH_003,F1,394.8,568.7,381.9,456.1,290.9,309.6,369.8,399.4,522,367.8,361.6,457.3,436.8,408.9,374.2,378,439.6,437,400.5,432.3,358.4,472.8,408.5,475.3,509.9,424.2,379.1,376.2,431.4,345.7,389.8,375.4,399.1,410.1,496.2,613.2,330.1,429.2,304.9,302.3,458,420.8,525.8,427.2,334.8,436.9,502.3,463.7,386.1,361.6,459.6,382.4,398.8,424.1,381.4,522.9,395.5,451.6,605.5,339.9,342.9,337.5,476.3,385.6,391,458.3,441.3,377.3,401.0724896
PH_004,F0,433.2,645.2,440.3,451.3,375.8,299.6,398.1,419.8,657.9,349.2,411.5,481.3,513.1,510,434.5,428.8,549.4,500,511.9,500.2,366.9,588.1,402.6,526.9,590.8,456.8,410.9,283.1,479.6,420.5,440.4,500.9,437.1,436,523.1,672.4,429.1,437.9,340.8,273.3,501.3,513.2,554.7,402.6,419.8,359.9,523.2,524.8,387.3,415.6,519.5,541.2,526.4,401.7,357.7,589,394,451.6,679.8,377.9,382.4,318.7,531.9,454.6,402.7,457.2,454.6,488.7,433.6888462
PH_004,F1,548.2,697.8,487.2,539.3,400.6,367.3,494.7,508,737,462.1,467.9,576.2,541.7,586.7,597.4,546.4,592,560.6,557.5,609.4,430.7,721.6,461.8,637.2,622.1,531.8,448.9,373.6,535.3,505.3,489,495,508.9,514.4,595.7,689.6,456.3,529.8,365.9,330.4,569.9,554.6,620.4,475.6,430.3,424.7,552.2,538.5,429.8,495.8,521.7,516,484.8,487.4,402.7,641.5,431.9,544.6,686.8,358.3,397.4,385.3,546.4,500.2,426.4,446.9,535.8,547,489.1986176
