id,session,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,Left-Hippocampus.long,Right-Hippocampus.long
PH_001,F0,421.02,498.46,301.42,334.99,440.46,505.23,486.47,322.84,321.25,248.63,398.05,381.26,337.41,512.02,415.07,467.43,438.34,361.55,395.99,457.74,258.01,333.59,413.47,450.31,435.96,318.36,309.43,253.93,320.86,345.12,421.68,415.61,423.68,310.89,383.69,212.85,428.46,636.39,856.19,674.85,568.75,529.8,386.5026222,327.4738423
PH_001,F1,444.94,536.2,302.01,329.78,462.2,524.71,443.93,319.46,343.62,308.18,363.78,363.2,378.69,524.8,450.08,432.35,442.12,355.38,424.38,504.81,274.49,367.28,450.67,493.46,401.9,309.84,327.37,299.8,353.12,393.54,426.27,377.25,435.71,295.68,360.55,223.82,470.16,630.17,814.53,634.84,545.01,577.75,362.6336948,352.5582168
PH_001,F2,403.54,486.36,293.68,338.54,428.89,461.89,416.1,332.21,319.79,293.75,356.52,340.75,344.69,491.99,443.13,418.38,424.7,328.99,397.28,460.79,274.3,368.34,403.62,454.91,394.65,328.41,338.34,311.15,339.24,395.18,470.75,404.06,438.49,298.14,328.44,169.71,432.35,651.29,792.47,601.53,529.93,503.98,339.8305751,338.103116
PH_002,F0,518.85,627.1,319.25,400.76,517.69,554.88,540.96,317.04,449.34,350.44,432.86,458.11,403.69,585.69,693.63,528.08,566.43,417.11,515.47,630.04,367.47,418.94,499,551.13,482.79,381.69,480.35,407.78,495.88,474.51,647.73,512.98,638.31,390.84,250.73,314.22,593.25,890.78,1082.3,854.28,856.41,752.52,462.4147532,496.9753321
PH_002,F1,539.87,640.64,315.56,393.05,563.41,598.85,509.2,328.1,463.03,370.31,433.59,477.65,400.95,555.38,626.68,524.04,552.17,397.73,537.83,641.72,383.44,404.96,538.31,576.82,510.41,325.18,384.76,312.69,503.72,416.78,513.15,547.22,512.35,419.18,274.8,279.75,634.67,832.66,1062,751.62,835.28,768.96,484.1745168,505.5356786
PH_002,F2,537.94,635.98,349.19,368.71,611.8,644.16,552.89,311.58,428.14,361.76,460.86,485.67,396.65,557.58,658.23,543.15,497.34,439.92,545.6,640.4,387.49,399.64,576.8,639.38,525.8,314.05,416.81,342.38,549.04,466.27,503.4,549.56,551.72,439.48,297.4,274.69,608.82,779.38,958.69,814.15,951.04,753.32,489.592424,550.2365848
PH_003,F0,433.78,503.41,311.42,322.88,493.28,556.34,400.31,288.55,308.27,282.9,365.16,364.77,344.94,514.28,476.58,382.75,356.6,333.19,418.56,489.65,385.19,360.09,470.6,515.83,442.83,351.34,336.07,301.97,383.46,378.64,414.57,449.4,435.3,346.41,304.68,396.01,582.35,663.45,724.8,633.63,645.3,617.03,366.6001926,378.7799463
PH_003,F1,342.02,399.57,255.29,239.5,434.32,479.26,325.53,259.54,250.1,236.88,327.52,303.65,285.03,449.85,411.69,342.18,302.19,270.45,336.72,403.55,309.15,280.73,435.52,468.66,363.35,294.13,274.31,249.58,327.42,314.19,337.87,387.44,362.34,291.87,258.79,492.26,573.29,612.8,550.83,515.17,525.92,0,301.8651308,323.8191743
PH_004,F0,354.7,432.5,246.56,289.85,331.46,399.83,342.45,288.56,326.46,289.9,351.77,347.63,338.37,395.1,441.4,401.56,345.04,239.48,372.22,436.44,234.48,326.72,317.04,321.6,356.83,339.74,358.26,331.07,342.35,421.99,439.73,428.15,547.68,259.54,269.81,311.39,515.27,639.35,726.55,616.51,587.69,612.9,347.8650226,339.7529041
PH_004,F1,424.05,505.97,308.07,349.79,400.34,433.17,481.77,300.23,366.6,345.49,356.14,464.44,379.6,463.64,462.9,524.88,505.04,337.53,405.34,473.51,253.67,364.75,362.2,395.2,388.11,321.6,373,345.53,395.32,411.53,461.1,437.89,523.9,304.27,316.54,487.56,475.05,771.57,796.48,685.36,605.46,644.75,462.7233315,390.9847235
